#          p        sig_p         v          bv       sig_bv
#
          15        0.72        8.29        0.49       0.015
          22        0.79         8.8        0.71       0.016
       14.26        0.93        7.36       0.412       0.016
       27.53        0.56        6.44       0.578       0.006
       10.48        0.95        9.15       0.625        0.02
       27.71         0.7        7.83       0.651        0.01
       26.54        0.68        6.43       0.415       0.008
       10.02        0.77        6.36        0.04       0.004
       22.53        0.83        8.89       0.857        0.02
       19.17        0.73        8.14       0.586        0.01
       12.86        0.67        8.17        0.45       0.015
       27.72        0.79        6.22       0.429       0.005
        11.2        0.91        8.06       0.484       0.007
       14.91        0.75        5.78       0.003       0.003
          14        0.81        8.24       0.547       0.011
       21.91        0.63        7.39        0.51       0.003
       14.69        0.79        8.24       0.604       0.011
       16.42        0.83        6.75       0.518       0.015
        34.3        0.89        7.45       0.726       0.002
       10.21         0.9        7.74        0.41       0.015
       18.22        0.95        7.72        0.62       0.007
       14.83        0.76        5.16       0.079       0.002
        12.7        0.94        8.08       0.421       0.011
        15.2        0.76        8.18       0.629       0.011
       14.89        0.53        6.15       0.172       0.005
       24.66        0.88        6.69       0.491       0.004
        12.8        0.77        8.78       0.619       0.015
       18.95        0.83        7.26       0.424       0.006
       15.46        0.72        5.66       0.042       0.004
       12.92        0.95           8       0.445       0.015
       12.75        0.75        7.69       0.446       0.015
       11.08        0.98        8.91       0.598       0.014
       10.92        0.95        8.64       0.555       0.014
       29.96        0.97        5.25        0.46       0.003
       17.69         0.9        9.02       0.671        0.02
       18.73        0.55        6.25       0.377       0.005
       25.36        0.94         9.2       0.939       0.026
       25.59        0.94        7.65       0.622       0.003
       26.38        0.91        7.41       0.632       0.015
       36.29        0.91        7.36       0.626       0.007
       12.56        0.98        7.75       0.498       0.015
        10.9        0.85        8.43       0.603       0.003
       17.28        0.58        5.22         0.4       0.004
       26.74        0.92        8.83       0.875       0.015
       16.69        0.95        7.27       0.585       0.007
       10.19        0.84        5.48      -0.078       0.003
       77.69        0.86        5.37       0.625       0.008
       11.06        0.94         9.2       0.575       0.021
       20.54        0.97        9.26       0.815       0.029
       22.72         0.8        7.03       0.641       0.001
       10.51        0.61        6.89        0.06       0.006
       23.95        0.71        7.05       0.561       0.015
       10.31        0.91        9.02       0.616        0.02
       21.43        0.98        6.51         0.5       0.009
       27.11        0.95           8       0.581       0.012
       12.44        0.76        8.13       0.803       0.015
       69.58        0.99        7.52       1.024       0.018
       11.98        0.87        7.97       0.404       0.015
       11.35         0.9        7.63       0.503       0.015
       33.08        0.84        7.29       0.669       0.006
       11.09        0.79        5.62       0.006       0.004
       89.78        0.56        6.58       0.917       0.022
       11.81        0.82        8.55       0.586       0.014
       17.75        0.98        8.34       0.617       0.015
       20.99        0.85        7.94        0.65        0.01
       15.05        0.89        8.56       0.524       0.012
       22.71        0.77        7.51       0.587       0.008
       12.37         0.8        8.57       0.457       0.013
       15.61        0.77        8.41       0.596       0.015
       16.49        0.73        7.88        0.51       0.015
       10.89        0.82        7.57        0.43       0.007
